Extension,Description,Install
Better Comments,"Improve your code commenting by annotating with alert, informational, TODOs, and more!",https://aaron-bond.gallery.vsassets.io/_apis/public/gallery/publisher/aaron-bond/extension/better-comments/3.0.2/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Bookmarks,Mark lines and jump to them,https://alefragnani.gallery.vsassets.io/_apis/public/gallery/publisher/alefragnani/extension/Bookmarks/13.5.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Project Manager,Easily switch between projects,https://alefragnani.gallery.vsassets.io/_apis/public/gallery/publisher/alefragnani/extension/project-manager/12.8.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
AWS Toolkit,"Including CodeCatalyst, Infrastructure Composer, and support for Lambda, S3, CloudWatch Logs, CloudFormation, and many other services.",https://amazonwebservices.gallery.vsassets.io/_apis/public/gallery/publisher/AmazonWebServices/extension/aws-toolkit-vscode/3.37.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Django,Beautiful syntax and scoped snippets for perfectionists with deadlines,https://batisteo.gallery.vsassets.io/_apis/public/gallery/publisher/batisteo/extension/vscode-django/1.15.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
ARM Template Viewer,Graphically display ARM templates in an interactive map view,https://bencoleman.gallery.vsassets.io/_apis/public/gallery/publisher/bencoleman/extension/armview/0.4.6/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
gitignore,Lets you pull .gitignore templates from the https://github.com/github/gitignore repository. Language support for .gitignore files.,https://codezombiech.gallery.vsassets.io/_apis/public/gallery/publisher/codezombiech/extension/gitignore/0.9.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
markdownlint,Markdown linting and style checking for Visual Studio Code,https://davidanson.gallery.vsassets.io/_apis/public/gallery/publisher/DavidAnson/extension/vscode-markdownlint/0.57.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
ansible-vault,Encrypt/decrypt ansible-vault file,https://dhoeric.gallery.vsassets.io/_apis/public/gallery/publisher/dhoeric/extension/ansible-vault/0.1.3/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Git Extension Pack,Popular Visual Studio Code extensions for Git,https://donjayamanne.gallery.vsassets.io/_apis/public/gallery/publisher/donjayamanne/extension/git-extension-pack/0.1.3/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Git History,"View git log, file history, compare branches or commits",https://donjayamanne.gallery.vsassets.io/_apis/public/gallery/publisher/donjayamanne/extension/githistory/0.6.20/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
